source_id,citation,year,primary_or_secondary,publication_type,access_level,verification_status,url,exact_claim_supported,used_quantitatively,transferability_limitation,reliability_note,document_sha256
S01,"UNECE Regulation No. 13-H, Uniform provisions concerning the approval of passenger cars with regard to braking (MLIT Japan bilingual copy UN_R013H.pdf; revision/supplement level of the copy not identified)",,PRIMARY,STANDARD_OR_REGULATION,FULL_TEXT_READ,FULL TEXT VERIFIED,https://www.mlit.go.jp/jidosha/un/UN_R013H.pdf,"Annex 3 §2.1.1: Type-0 (engine disconnected) dm >= 6.43 m/s2, s <= 0.1v + 0.0060v2 at 100 km/h; Annex 3 §3.1: response time <= 0.6 s; §5.2.22.4: regenerative-braking stop-lamp bands 0.7 / 1.3 m/s2; §2.17, §2.34: regen and brake-assist categories",YES,"regulatory minimum for type approval (laden vehicle, test conditions), not typical vehicle performance",Revision level of the copy not confirmed.,
S02,"UNECE Regulation No. 157, Automated Lane Keeping Systems, Revision 1, 01 series of amendments (entry into force 4 January 2023), E/ECE/TRANS/505/Rev.3/Add.156/Rev.1 (official UNECE PDF R157r1e.pdf, 102 pages)",2023,PRIMARY,STANDARD_OR_REGULATION,FULL_TEXT_READ,FULL TEXT VERIFIED,https://unece.org/sites/default/files/2025-06/R157r1e.pdf,"§2.2-2.8, §5.2.3.1 (130 km/h only with MRM lane-change capability), §5.3.1.1 (>5.0 m/s2 = emergency manoeuvre), §5.4.3, §5.4.3.2, §5.4.4.1, §5.5.1, §5.5.2, §6.2.5.1-6.2.5.2, §6.3.2-6.3.3, Annex 3 §3.3 Table 1 (competent and careful driver model)",YES,"applies to ALKS type approval; D003 is not an R157 system; the Annex 3 driver model is a regulatory benchmark, not measured takeover behaviour",Retrieved through a browser session (UNECE blocks scripted downloads); text extracted with pdf.js; hash recorded.,552b579225f98f66d97019d5712fe8ea26bb5e369943c34328c46537a1de537c
S03,"Olleja P., Markkula G., Bärgman J. (2025). Validation of human benchmark models for automated driving system approval: How competent and careful are they really? Accident Analysis & Prevention (arXiv:2406.09493)",2025,SECONDARY,PEER_REVIEWED,FULL_TEXT_READ,FULL TEXT VERIFIED,https://arxiv.org/abs/2406.09493,the R157 benchmark driver models have not been validated against real near-crashes (38 SHRP2 cut-ins); secondary quotation of the Annex parameters (now verified in S02/S31),NO,"cut-in near-crashes, not takeovers",Used for the validation finding only; the Annex parameters are cited from S02/S31.,
S04,"Greibe P. (2007). Braking distance, friction and behaviour: Findings, analyses and recommendations based on braking trials. Trafitec, Lyngby, Denmark",2007,PRIMARY,TECHNICAL_REPORT,FULL_TEXT_READ,FULL TEXT VERIFIED,https://trafitec.dk/wp-content/uploads/2023/11/64-Determination-of-braking-distance-and-driver-behaviour-based-on-braking-trials.pdf,"Table 4.5/4.6: emergency-stop mean deceleration dry 8.4 / wet 7.9 m/s2 (professional), 7.4 / 7.0 (non-professional); Table 4.7: time to 10 kg pedal force 0.83 s (non-professional) vs 0.05 s (professional); §3.1: braking initiation time 0.1-0.4 s; measured section friction 0.49-0.75",YES,"two ABS cars of 2007, Danish test tracks, not a takeover context","Primary instrumented data, not peer-reviewed.",
S05,"Scanlon J.M., Sherony R., Gabler H.C. (2015). Analysis of driver evasive maneuvering prior to intersection crashes using event data recorders. Traffic Injury Prevention 16(sup2)",2015,PRIMARY,PEER_REVIEWED,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://www.tandfonline.com/doi/full/10.1080/15389588.2015.1066500,median average evasive braking deceleration 0.58 g (abstract-level),YES,"intersection crashes, not motorway takeovers",Abstract-level only: may not support a synthesis-ready parameter.,
S06,Kiesewetter W. et al. (1997). Der neue Brake Assist von Mercedes-Benz - aktive Fahrerunterstützung in Notsituationen. ATZ 99(6),1997,PRIMARY,TRADE_JOURNAL,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://www.osti.gov/etdeweb/biblio/520114,drivers press the brake quickly but not firmly enough in emergencies (qualitative),NO,"manufacturer simulator research, 1990s vehicles",Qualitative only.,
S07,"US EPA Test Car List, model year 2024 (24-testcar-2025-05.xlsx): target road-load coefficients A, B, C and equivalent test weight",2025,PRIMARY,DATASET,DATASET_PROCESSED,DATASET VERIFIED,https://www.epa.gov/system/files/documents/2025-05/24-testcar-2025-05.xlsx,"drag-only deceleration at 100 km/h: median 0.31, 5-95% 0.22-0.40 m/s2 (derived)",YES,US certification fleet; road load in neutral; mass = equivalent test weight,Processed by src/experiments/r3a_coastdown_epa.py; file hash e3a5378f...,e3a5378fa5e6820861d705e36fd2f2046234be8d050026bcfde29f0b8e63a6f9
S08,"Wang Y., Shahriar M.Z., Zhou H. Analytical framework for evaluating traffic capacity impacts of electric vehicles' regenerative braking dynamics. arXiv:2508.01938 (v3, 2026)",2026,PRIMARY,PREPRINT,FULL_TEXT_READ,FULL TEXT VERIFIED,https://arxiv.org/abs/2508.01938,"lift-off regen deceleration 1-4 m/s2 depending on regen setting (4 EV models); one-pedal torque peak 200-300 ms, up to ~0.3 g (citing Lee et al.)",YES,"four EV models, car-following context",Not peer-reviewed.,
S09,"Zhang B., de Winter J., Varotto S., Happee R., Martens M. (2019). Determinants of take-over time from automated driving: A meta-analysis of 129 studies. Transportation Research Part F 64:285-307",2019,PRIMARY,PEER_REVIEWED,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://www.sciencedirect.com/science/article/pii/S1369847818303693,mean take-over time 2.72 s (SD 1.45) across studies; r = 0.73 with time budget (abstract / search summary),YES,between-study means; takeover-time definitions vary,Abstract-level only.,
S10,"Lu Z., Happee R., Cabrall C.D.D., Kyriakidis M., de Winter J.C.F. (2016). Human factors of transitions in automated driving: A general framework and literature survey. Transportation Research Part F 43:183-198",2016,PRIMARY,PEER_REVIEWED,ABSTRACT_OR_SUMMARY,ABSTRACT OR PUBLIC SUMMARY ONLY,https://www.sciencedirect.com/science/article/abs/pii/S1369847816304120,six transition types by required / initiator / controller after,NO,taxonomy only,Abstract-level.,
