link,from_layer,to_layer,classification,reason,evidence
t_button → t1,HUMAN,HUMAN x TRANSITION,NOT IDENTIFIABLE,"different events: HMI mode switch vs effective braking onset; braking onset unobservable (B17); braking may even act before the button (owner question B1), so not even an ordering is established",R2A/B17; event registry
first human input → effective control,HUMAN,HUMAN x TRANSITION,NOT IDENTIFIABLE,both latent in D003 (B17),event registry
TOR → authority transfer,TRANSITION,TRANSITION,ASSUMPTION-DEPENDENT,"R157 defines deactivation/override conditions, not D003 timing; Manual_Start authority unresolved (B7)",S02/S31; R3B P24
vehicle type → a_pre,VEHICLE,VEHICLE x TRANSITION,PARTIALLY IDENTIFIED,"drag component identified by fleet data (EPA, by speed and powertrain); regen/engine braking and the policy component are not",R3A; EPA S07
P2 support → D003 automation behaviour,TRANSITION,D003,NOT IDENTIFIABLE,D003 automation actuation at TOR is cell-specific and undocumented (B17),R2A channel_transition_pattern_by_cell
participant familiarity → braking strength,HUMAN,HUMAN x VEHICLE,NOT IDENTIFIABLE,braking strength unobservable (B17); familiarity (EV/ICE) not identifiable in a single-vehicle simulator,R2C; status baseline
TTC → braking-only recoverability,HAZARD,SYNTHESIS,ASSUMPTION-DEPENDENT,"exact within the R3B model; labels depend on assumed t1, t3, authority timing and u = 1",R3B
TTC → full takeover recoverability,HAZARD,SYNTHESIS,NOT IDENTIFIABLE,"steering recovery dominates in D003 and cannot be parameterised (geometry, gaps, steering authorship)",R3A §9; R2A
lane-change onset → steering recovery time,HUMAN x HAZARD,SYNTHESIS,PARTIALLY IDENTIFIED,"TOR → validated lane crossing is observed (median 6.40 s), but steering onset, authorship and required lateral offset are not",R2B; HAZARD_STATE_MATRIX
repeated exposure → t_button,HUMAN,HUMAN,IDENTIFIED,"within-participant association (slope −0.033 s/exposure), robust to multi-TOR exclusion and carry-over adjustment; associational, not causal","R2B, R2C"
participant covariates → t_button,HUMAN,HUMAN,IDENTIFIED,association estimated and null after Holm (n = 57); secondary re-analysis,R2C
speed × μ × a_max → T_required^brake,HAZARD x VEHICLE,SYNTHESIS,IDENTIFIED,"exact within the R3B model (closed form, simulator cross-check, guarded bounds)",R3B
Manual_Stop → recovery completion,HUMAN x TRANSITION,SYNTHESIS,NOT IDENTIFIABLE,handback is protocol-driven (instructed after lane change); no completion definition,R2B; R0
first channel activity → first human input,D003,HUMAN,NOT IDENTIFIABLE,channels not driver-only (B17),R2A
lane change → effective longitudinal control,HUMAN x HAZARD,HUMAN x TRANSITION,NOT IDENTIFIABLE,different channel and event; lateral crossing says nothing about longitudinal command,event registry
D003 TTC at TOR → T_available^brake,HAZARD,SYNTHESIS,IDENTIFIED,same definition under the constant-velocity reference (TOR at TTC ≈ 7 s by protocol),R3B-0 spec; S17
Manual_Start → authority transfer,HUMAN x TRANSITION,TRANSITION,PARTIALLY IDENTIFIED,documented design intent (data dictionary: switch to manual mode; S17: button enables manual inputs); per-channel behaviour unverified,R4 internal source-of-truth audit §1d
post-Manual_Start control channels → driver input,D003,HUMAN,ASSUMPTION-DEPENDENT,driver-generated by documented design (manual mode); requires verification that no automation signature persists after the switch,R4 internal source-of-truth audit §2
