event_id,name,semantic_meaning,observability,source_ids,d003_identifiable,d003_proxy,modelled_in_code,code_representation,unresolved,must_not_alias
E_TOR,takeover request / transition demand issued,the system issues the request to resume the dynamic driving task (R157 §2.2 'transition demand'),OBSERVABLE,S02;S18,YES,Time_Takeover_Request (protocol-resolved; B1 multi-TOR),YES,t = 0 in the simulator,PARTIAL (multi-TOR trials),E_authority_transfer;E_driver_acknowledgement
E_driver_acknowledgement,driver acknowledgement / mode-switch action,an explicit driver action on the HMI signalling acceptance of the takeover (D003: mode-switch button),OBSERVABLE,S17;S18,YES (as event marker),Time_Manual_Start,NO,,YES (authority semantics B7),E_authority_transfer;E_first_human_input;E_effective_human_control
E_authority_transfer,authority transfer (per control channel),the moment a human input takes priority over the automation on a given channel; for R157 systems: deactivation or override under §6.2.5 / §6.3,LATENT,S02;S31,NO,,YES (assumed),authority switches to human at t_reaction; code docstring assumes T_authority = TOR,YES,E_TOR;E_driver_acknowledgement;E_first_human_input
E_first_human_input,first human control input,"first input by the human to steering, brake or accelerator, whatever its effect",LATENT,S28,"NO (channels not driver-only, B17)",,NO,,YES,E_first_channel_activity;E_authority_transfer
E_first_channel_activity,first activity on a control channel,"first change in a logged accelerator / brake / steering channel after TOR, regardless of author",OBSERVABLE,S28,YES (as channel event only),first channel change after TOR,NO,,NO,E_first_human_input
E_effective_human_control,effective human control,first human input that changes vehicle motion on a channel over which the human has authority,LATENT,S28;S02,NO,,YES (assumed),brake command step at t_reaction; deceleration after t_reaction + t2,YES,E_driver_acknowledgement;E_first_channel_activity
E_lane_change,lane change,the vehicle crosses into the adjacent lane (validated against lane id),OBSERVABLE,S18,YES,validated lane-change time (R1/R2A),NO,,NO,
E_handback,handback to automation,the driver hands control back to the automation (protocol step; competing event / observation boundary),OBSERVABLE,S17;S18,YES,first Time_Manual_Stop after Manual_Start,NO,,PARTIAL (B14 multiple values),
E_hazard_boundary,hazard boundary reached,manoeuvre-specific boundary: braking - ego reaches the hazard station with v > 0; steering - ego reaches the hazard station with lateral overlap,DERIVED,S27;S18,"PARTIAL (station crossing only; geometry unknown, B10)",longitudinal hazard-station crossing (T_pass),YES (braking only),x_hazard = v0 * tor_lead_time,YES (geometry),
E_MRM_start,minimum-risk manoeuvre starts,"the system starts an MRM (R157: earliest 10 s after the transition demand without deactivation, or immediately on severe failure)",OBSERVABLE (in systems that log it),S02;S31;S15,NO (not part of D003),,NO,,NO,
E_MRM_complete,minimum-risk manoeuvre complete,"the MRM ends: standstill reached or system deactivated (R157 00 series §5.5.2-5.5.4, OJ L 82; Rev.1 renumbers §5.5 and was not re-checked for these clauses)",OBSERVABLE (in systems that log it),S02;S31,NO,,NO,,NO,
