dataset_id,source_file,field_name,description,dtype,units,sampling_rate,human_or_vehicle,direct_or_derived,candidate_metric,verified_from_raw,notes
D003,density_X_nback_Y_id_Z_simulator_data.csv,time,Master simulation timestamp,float64,seconds (UNIX),20Hz (Delta t = 0.050s),vehicle,direct,Timebase for temporal progression,YES (measured from raw CSV rows),Delta t = 0.0500s constant across 1953 rows per file.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-steeringWheelAngle,Continuous steering wheel rotation angle,float64,rad,20Hz,human,direct,"Steering reaction time (T_first_steer), peak steering angle, steering reversals",YES (raw column confirmed in CSV),Zero-centered; provides continuous bilateral steering control trace.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-steeringWheelSpeed,Rotational velocity of steering wheel,float64,rad/s,20Hz,human,direct,"Steering rate, sign changes in steering velocity, jerk",YES (raw column confirmed in CSV),Enables derivative sign-change counting for steering oscillation / overcorrection.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-steeringTorq,Driver steering torque applied to wheel,float64,N*m,20Hz,human,direct,"Driver steering effort, hands-on detection",YES (raw column confirmed in CSV),Indicates physical human effort on the steering rim.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-accelerator,Continuous accelerator pedal displacement,float64,normalized [0:1],20Hz,human,direct,"Accelerator release latency, foot transition, accelerator corrections",YES (raw column confirmed in CSV),Direct continuous accelerator pedal channel; non-zero during automated and manual driving.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-brake,Continuous brake pedal force applied by driver,float64,Newtons (N),20Hz,human,direct,"Brake onset latency (T_first_brake), peak brake force, brake reapplication count, brake settling time",YES (raw column confirmed in CSV),Direct physical force measurement in Newtons; key breakthrough signal for continuous braking modulation.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-speed.001,Longitudinal vehicle speed in forward direction,float64,m/s,20Hz,vehicle,direct,"Speed profile, speed settling time, impact speed",YES (raw column confirmed in CSV),Direct ego velocity along road axis.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-speed.002,Lateral vehicle speed,float64,m/s,20Hz,vehicle,direct,"Lateral velocity, lane change dynamics, lateral overshoot",YES (raw column confirmed in CSV),Ego lateral velocity.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-accel.001,Longitudinal vehicle acceleration,float64,m/s2,20Hz,vehicle,direct,"Realized deceleration, deceleration onset (T_effective), deceleration settling time, longitudinal jerk",YES (raw column confirmed in CSV),Shows real vehicle response lag behind driver brake force.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-accel.002,Lateral vehicle acceleration,float64,m/s2,20Hz,vehicle,direct,"Lateral acceleration, cornering stability, peak lateral jerk",YES (raw column confirmed in CSV),Lateral acceleration during evasive lane changes.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-pos.001,Global longitudinal X position,float64,meters,20Hz,vehicle,direct,"Longitudinal displacement, stopping position, stopping margin",YES (raw column confirmed in CSV),Vehicle path along highway corridor.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-pos.002,Global lateral Y position,float64,meters,20Hz,vehicle,direct,"Lateral lane excursion, lane change completion, lateral settling",YES (raw column confirmed in CSV),Cross-track position on multi-lane roadway.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-pos.006,Vehicle yaw angle / heading,float64,rad,20Hz,vehicle,direct,"Vehicle heading stability, yaw oscillation settling time",YES (raw column confirmed in CSV),Heading angle relative to road coordinate frame.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[00].VehicleUpdate-roadInfo-laneGap.0,Lateral offset from current lane centerline,float64,meters,20Hz,vehicle,direct,"Lane deviation, lane keeping error, lane stabilization time (T_stable)",YES (raw column confirmed in CSV),Direct lane tracking error; critical for defining lane stabilization criterion.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[72 (Time/Time_Takeover_Request)].ExportChannel-val,Timestamp of Takeover Request (TOR) alarm,float64,seconds,event,automation,direct,"T_authority nominal baseline timestamp, TOR lead time budget",YES (raw column confirmed in CSV),Defines t = 0 for the takeover event.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[73 (Time/Time_Manual_Start)].ExportChannel-val,Timestamp when driver pressed disengage/switch button,float64,seconds,event,human,direct,"T_manual / button press takeover reaction time",YES (raw column confirmed in CSV),Records intentional driver button press to disengage automation.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[74 (Time/Time_Manual_Stop)].ExportChannel-val,Timestamp when manual driving episode ended,float64,seconds,event,human,direct,Duration of manual takeover episode,YES (raw column confirmed in CSV),Manual control end boundary.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[77 (Time/Time_TTC)].ExportChannel-val,Continuous Time-to-Collision to downstream obstacle,float64,seconds,20Hz,traffic/vehicle,derived,"Minimum TTC (TTC_min), TTC recovery time",YES (raw column confirmed in CSV),Computed as distance_to_collision / car_speed_x.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[78 (Time/Time_Lane_Change)].ExportChannel-val,Timestamp when vehicle crossed lane boundary to left lane,float64,seconds,event,vehicle,direct,"Evasive lane change response latency, lane change execution time",YES (raw column confirmed in CSV),Automated detection of lane-change maneuver completion.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[85 (Distance/Distance_to_Construction)].ExportChannel-val,Continuous distance to stationary construction obstacle,float64,meters,20Hz,traffic,direct,"Hazard distance, minimum gap, stopping margin",YES (raw column confirmed in CSV),Direct ground-truth clearance to collision object.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[82 (Distance/Distance_to_Following_Vehicle)].ExportChannel-val,Continuous relative distance to vehicle trailing ego car,float64,meters,20Hz,traffic,direct,Rear-end collision risk during hard braking,YES (raw column confirmed in CSV),Dynamic spacing to rear vehicle.
D003,density_X_nback_Y_id_Z_simulator_data.csv,[83 (Distance/Distance_to_Leading_Vehicle_Next_Lane)].ExportChannel-val,Continuous distance to vehicle ahead in adjacent target lane,float64,meters,20Hz,traffic,direct,Gap acceptance for evasive lane change,YES (raw column confirmed in CSV),Spacing in lane 2 ahead.
D003,driver_characteristic_answers.csv,driving_years,Years participant has held a driving license,float64,years,static,human,direct,Driving experience covariate for mixed-effects model,YES (confirmed in data dictionary),Participant baseline driving history.
D003,driver_characteristic_answers.csv,accu_km,Accumulated driving distance in previous 12 months,float64,km,static,human,direct,Recent driving exposure covariate,YES (confirmed in data dictionary),Annual mileage indicator.
D003,driver_characteristic_answers.csv,auto_usage,Frequency of ADAS usage out of 10 trips in past year,int,count [0-10],static,human,direct,Automation familiarity covariate,YES (confirmed in data dictionary),Self-reported ADAS adoption frequency.
D003,driver_characteristic_answers.csv,takeover_style_reckless,Reckless/careless takeover style score,float64,score [1-5],static,human,derived,Driver risk-taking typology covariate,YES (confirmed in data dictionary),Aggregated psychometric factor score.
D001,carState.csv,vEgo,Ego vehicle longitudinal speed,float64,m/s,10/100Hz,vehicle,direct,"Speed profile, speed settling time, impact speed proxy",YES (from official OpenLKA schema and paper),Logged from vehicle CAN bus via openpilot.
D001,carState.csv,aEgo,Ego vehicle longitudinal acceleration,float64,m/s2,10/100Hz,vehicle,direct,"Deceleration onset (T_effective), peak deceleration, longitudinal jerk",YES (from official OpenLKA schema and paper),CAN acceleration telemetry.
D001,carState.csv,steeringAngleDeg,Steering wheel angle,float64,degrees,10/100Hz,human,direct,"Steering reaction time (T_first_steer), peak steering angle, steering reversals",YES (from official OpenLKA schema and paper),Continuous steering angle measurement.
D001,carState.csv,steeringRateDeg,Steering wheel angular velocity,float64,deg/s,10/100Hz,human,direct,"Steering rate, derivative sign changes",YES (from official OpenLKA schema and paper),Rotational rate of wheel.
D001,carState.csv,steeringTorque,Steering column torque,float64,N*m,10/100Hz,human,direct,"Human steering effort, hands-on detection",YES (from official OpenLKA schema and paper),CAN column torque sensor.
D001,carState.csv,steeringPressed,Steering wheel intervention boolean flag,bool,binary,10/100Hz,human,direct,Steering takeover reaction time,YES (from official OpenLKA schema and paper),Thresholded CAN driver steering override flag.
D001,carState.csv,brakePressed,Brake pedal depression boolean flag,bool,binary,10/100Hz,human,direct,Brake reaction time (T_first_brake),YES (from official OpenLKA schema and paper),Binary brake switch on pedal; NOT continuous pedal position.
D001,carState.csv,gasPressed,Accelerator pedal depression boolean flag,bool,binary,10/100Hz,human,direct,Accelerator release latency,YES (from official OpenLKA schema and paper),Binary accelerator switch; NOT continuous pedal position.
D001,carState.csv,cruiseState.enabled,Openpilot longitudinal/lateral automated cruise enabled flag,bool,binary,10/100Hz,automation,direct,Automation disengagement timestamp (T_authority),YES (from official OpenLKA schema and paper),Transition from True to False defines takeover initiation.
D001,radarState.csv,leadOne.dRel,Relative distance to primary lead obstacle,float64,meters,10/100Hz,traffic,direct,"Hazard clearance, minimum gap, stopping margin",YES (from official OpenLKA schema and paper),Millimeter-wave radar distance tracking.
D001,radarState.csv,leadOne.vRel,Relative velocity to primary lead obstacle,float64,m/s,10/100Hz,traffic,direct,"Closing speed, TTC computation",YES (from official OpenLKA schema and paper),Radar Doppler relative velocity.
D001,carControl.csv,actuators.accel,Automation controller commanded acceleration,float64,m/s2,10/100Hz,automation,direct,Pre-takeover automated braking demand,YES (from official OpenLKA schema and paper),openpilot longitudinal planner command.
D001,carOutput.csv,actuatorsOutput.brake,Realized vehicle brake actuator command,float64,normalized,10/100Hz,vehicle,direct,Actuation command to brake-by-wire system,YES (from official OpenLKA schema and paper),Vehicle-side CAN actuator response.
D002,takeoverScenarioInformations.csv,reactionTime,Latency from critical event to driver first control maneuver,float64,milliseconds,scalar,human,direct,Takeover reaction time distribution (Level H1),YES (Nature Sci Data 12:539 and notebook parse),Computed by authors in CARLA experiment; individual continuous time series withheld.
D002,takeoverScenarioInformations.csv,takeoverSuccess,Accident avoidance outcome indicator,string,categorical [Success/Failure],scalar,human/vehicle,direct,Collision rate / takeover success indicator,YES (Nature Sci Data 12:539 and notebook parse),Binary outcome: avoided collision with obstacle vs crashed.
D002,takeoverScenarioInformations.csv,criticalEventType,Type of critical event (L=jaywalker left, R=jaywalker right, F=lead vehicle stop),string,categorical [L/R/F],scalar,scenario,direct,Scenario criticality category,YES (Nature Sci Data 12:539 and notebook parse),Categorizes kinematic demand and required maneuver (steering vs braking).
D002,takeoverScenarioInformations.csv,criticalEventOccurrenceTime,Timestamp of critical event trigger within scenario,float64,milliseconds,scalar,scenario,direct,Hazard onset baseline (T_TOR equivalent),YES (Nature Sci Data 12:539 and notebook parse),Simulation time zero for the critical incident.
D002,takeoverScenarioInformations.csv,NASA-TLX,Overall NASA Task Load Index perceived workload score,float64,score [0-100],scalar,human,derived,Cognitive workload covariate across secondary tasks,YES (Nature Sci Data 12:539 and notebook parse),Evaluates mental demand of secondary activities.
D002,driverInformation.csv,drivingExperience,Years between driver license acquisition and experiment date,float64,years,scalar,human,direct,Driving experience covariate,YES (Nature Sci Data 12:539 and notebook parse),Demographic experience index across 50 participants.
D002,driverInformation.csv,age,Participant age in international years,int,years,scalar,human,direct,Driver age demographic covariate,YES (Nature Sci Data 12:539 and notebook parse),Participant age distribution (mean ~28.6, range 20-60+).
D002,ECG.csv,value,Electrical activity of the heart (Polar H10),float64,millivolts (mV),130Hz,human,direct,Physiological stress / cognitive arousal indicator,YES (Nature Sci Data 12:539 and notebook parse),Available in raw form for physiological takeover state analysis.
D002,diameters.csv,value,Average pupil diameter from dual eye-tracking cameras (Pupil Core),float64,millimeters (mm),200Hz,human,direct,Ocular cognitive workload / visual attention indicator,YES (Nature Sci Data 12:539 and notebook parse),Ocular arousal and mental demand metric.
D004,data.csv,state_gas_pos,Continuous accelerator pedal position sensor,float64,normalized [0:1],approx 100Hz,human,direct,Continuous accelerator pedal modulation,YES (measured from 2260 rows parsed in Phase 0.3),Exposes 26 distinct pedal values (0.0-0.235) in sampled driving window.
D004,data.csv,vEgo,Continuous ego vehicle speed from CAN,float64,m/s,approx 100Hz,vehicle,direct,Longitudinal velocity trace,YES (measured from raw CSV rows in Phase 0.3),Continuous velocity profile.
D004,data.csv,aEgo,Continuous ego vehicle acceleration from CAN,float64,m/s2,approx 100Hz,vehicle,direct,Longitudinal acceleration / regenerative deceleration,YES (measured from raw CSV rows in Phase 0.3),Continuous acceleration trace.
D004,data.csv,op_enable,Openpilot automated control state active flag,bool,binary,approx 100Hz,automation,direct,Automation authority state,YES (measured from raw CSV rows in Phase 0.3),Authority ownership indicator.
D005,HYUNDAI_IONIQ_5_segments.json,padel,Accelerator pedal position in segment,float64,normalized [0:1],approx 10Hz (Delta t = 0.10s),human,direct,Propulsion pedal command,YES (measured from parsed JSON in Phase 0.3),Spelled 'padel' in raw JSON. Accelerator only; NO brake channel exists in dataset.
D005,HYUNDAI_IONIQ_5_segments.json,a,Vehicle longitudinal acceleration in segment,float64,m/s2,approx 10Hz,vehicle,direct,Propulsion acceleration authority bounds,YES (measured from parsed JSON in Phase 0.3),Used to bound vehicle acceleration capability.
