v0,tor_lead_time,x_hazard,policy,a_coast,t_buildup,stopping_margin,collision,impact_speed,ttc_min,x_stop_full
20.0,1.5,30.0,W0,0.0,0.0,-15.52941176469848,True,16.248076809271105,0.0,45.52941176469848
20.0,1.5,30.0,W1,0.0,0.0,-15.52941176469848,True,16.248076809271105,0.0,45.52941176469848
20.0,1.5,30.0,W0,1.0,0.0,-15.52941176469848,True,16.248076809271105,0.0,45.52941176469848
20.0,1.5,30.0,W1,1.0,0.0,-12.635294117637734,True,14.656056768446579,0.0,42.635294117637734
20.0,1.5,30.0,W0,2.0,0.0,-15.52941176469848,True,16.248076809271105,0.0,45.52941176469848
20.0,1.5,30.0,W1,2.0,0.0,-9.858823529410067,True,12.946041866147624,0.0,39.85882352941007
20.0,1.5,30.0,W0,3.0,0.0,-15.52941176469848,True,16.248076809271105,0.0,45.52941176469848
20.0,1.5,30.0,W1,3.0,0.0,-7.19999999999628,True,11.063453348751441,0.0,37.19999999999628
20.0,1.5,30.0,W0,4.0,0.0,-15.52941176469848,True,16.248076809271105,0.0,45.52941176469848
20.0,1.5,30.0,W1,4.0,0.0,-4.658823529406355,True,8.899438184512146,0.0,34.658823529406355
20.0,1.5,30.0,W0,0.0,0.1,-16.535870452198544,True,16.766329284833983,0.0,46.535870452198544
20.0,1.5,30.0,W1,0.0,0.1,-16.535870452198544,True,16.766329284833983,0.0,46.535870452198544
20.0,1.5,30.0,W0,1.0,0.1,-16.535870452198544,True,16.766329284833983,0.0,46.535870452198544
20.0,1.5,30.0,W1,1.0,0.1,-13.591252805137707,True,15.200371629911944,0.0,43.59125280513771
20.0,1.5,30.0,W0,2.0,0.1,-16.535870452198544,True,16.766329284833983,0.0,46.535870452198544
20.0,1.5,30.0,W1,2.0,0.1,-10.764282216910146,True,13.527483050721298,0.0,40.764282216910146
20.0,1.5,30.0,W0,3.0,0.1,-16.535870452198544,True,16.766329284833983,0.0,46.535870452198544
20.0,1.5,30.0,W1,3.0,0.1,-8.054958687496274,True,11.70189291044415,0.0,38.054958687496274
20.0,1.5,30.0,W0,4.0,0.1,-16.535870452198544,True,16.766329284833983,0.0,46.535870452198544
20.0,1.5,30.0,W1,4.0,0.1,-5.463282216905988,True,9.637209019599613,0.0,35.46328221690599
20.0,1.5,30.0,W0,0.0,0.2,-17.52524545219861,True,17.26062492169646,0.0,47.52524545219861
20.0,1.5,30.0,W1,0.0,0.2,-17.52524545219861,True,17.26062492169646,0.0,47.52524545219861
20.0,1.5,30.0,W0,1.0,0.2,-17.52524545219861,True,17.26062492169646,0.0,47.52524545219861
20.0,1.5,30.0,W1,1.0,0.2,-14.530627805137676,True,15.716891317542238,0.0,44.53062780513768
20.0,1.5,30.0,W0,2.0,0.2,-17.52524545219861,True,17.26062492169646,0.0,47.52524545219861
20.0,1.5,30.0,W1,2.0,0.2,-11.653657216910197,True,14.075232597991281,0.0,41.6536572169102
20.0,1.5,30.0,W0,3.0,0.2,-17.52524545219861,True,17.26062492169646,0.0,47.52524545219861
20.0,1.5,30.0,W1,3.0,0.2,-8.8943336874962,True,12.296490258911533,0.0,38.8943336874962
20.0,1.5,30.0,W0,4.0,0.2,-17.52524545219861,True,17.26062492169646,0.0,47.52524545219861
20.0,1.5,30.0,W1,4.0,0.2,-6.252657216905604,True,10.309955028391302,0.0,36.252657216905604
20.0,1.5,30.0,W0,0.0,0.3,-18.507537118865265,True,17.737760033917162,0.0,48.507537118865265
20.0,1.5,30.0,W1,0.0,0.3,-18.507537118865265,True,17.737760033917162,0.0,48.507537118865265
20.0,1.5,30.0,W0,1.0,0.3,-18.507537118865265,True,17.737760033917162,0.0,48.507537118865265
20.0,1.5,30.0,W1,1.0,0.3,-15.462919471804241,True,16.21325479417292,0.0,45.46291947180424
20.0,1.5,30.0,W0,2.0,0.3,-18.507537118865265,True,17.737760033917162,0.0,48.507537118865265
20.0,1.5,30.0,W1,2.0,0.3,-12.535948883576829,True,14.59832630889217,0.0,42.53594888357683
20.0,1.5,30.0,W0,3.0,0.3,-18.507537118865265,True,17.737760033917162,0.0,48.507537118865265
20.0,1.5,30.0,W1,3.0,0.3,-9.726625354162692,True,12.858951396627967,0.0,39.72662535416269
20.0,1.5,30.0,W0,4.0,0.3,-18.507537118865265,True,17.737760033917162,0.0,48.507537118865265
20.0,1.5,30.0,W1,4.0,0.3,-7.034948883571893,True,10.935910159688737,0.0,37.03494888357189
20.0,1.5,30.0,W0,0.0,0.4,-19.482745452198714,True,18.199084391460584,0.0,49.482745452198714
20.0,1.5,30.0,W1,0.0,0.4,-19.482745452198714,True,18.199084391460584,0.0,49.482745452198714
20.0,1.5,30.0,W0,1.0,0.4,-19.482745452198714,True,18.199084391460584,0.0,49.482745452198714
20.0,1.5,30.0,W1,1.0,0.4,-16.388127805137593,True,16.691260368451655,0.0,46.38812780513759
20.0,1.5,30.0,W0,2.0,0.4,-19.482745452198714,True,18.199084391460584,0.0,49.482745452198714
20.0,1.5,30.0,W1,2.0,0.4,-13.41115721691034,True,15.099326895181973,0.0,43.41115721691034
20.0,1.5,30.0,W0,3.0,0.4,-19.482745452198714,True,18.199084391460584,0.0,49.482745452198714
20.0,1.5,30.0,W1,3.0,0.4,-10.551833687495886,True,13.393325676899975,0.0,40.551833687495886
20.0,1.5,30.0,W0,4.0,0.4,-19.482745452198714,True,18.199084391460584,0.0,49.482745452198714
20.0,1.5,30.0,W1,4.0,0.4,-7.81015721690504,True,11.522702490624788,0.0,37.81015721690504
20.0,1.5,30.0,W0,0.0,0.5,-20.450870452198814,True,18.57667036168066,0.0,50.450870452198814
20.0,1.5,30.0,W1,0.0,0.5,-20.450870452198814,True,18.57667036168066,0.0,50.450870452198814
20.0,1.5,30.0,W0,1.0,0.5,-20.450870452198814,True,18.57667036168066,0.0,50.450870452198814
20.0,1.5,30.0,W1,1.0,0.5,-17.306252805137646,True,17.1434337925194,0.0,47.306252805137646
20.0,1.5,30.0,W0,2.0,0.5,-20.450870452198814,True,18.57667036168066,0.0,50.450870452198814
20.0,1.5,30.0,W1,2.0,0.5,-14.279282216910396,True,15.58036577515335,0.0,44.279282216910396
20.0,1.5,30.0,W0,3.0,0.5,-20.450870452198814,True,18.57667036168066,0.0,50.450870452198814
20.0,1.5,30.0,W1,3.0,0.5,-11.369958687495739,True,13.902852142186857,0.0,41.36995868749574
20.0,1.5,30.0,W0,4.0,0.5,-20.450870452198814,True,18.57667036168066,0.0,50.450870452198814
20.0,1.5,30.0,W1,4.0,0.5,-8.57828221690474,True,12.076042302321161,0.0,38.57828221690474
20.0,1.5,30.0,W0,0.0,0.6,-21.411912118865814,True,18.82384006991534,0.0,51.411912118865814
20.0,1.5,30.0,W1,0.0,0.6,-21.411912118865814,True,18.82384006991534,0.0,51.411912118865814
20.0,1.5,30.0,W0,1.0,0.6,-21.411912118865814,True,18.82384006991534,0.0,51.411912118865814
20.0,1.5,30.0,W1,1.0,0.6,-18.217294471804273,True,17.471084744357835,0.0,48.21729447180427
20.0,1.5,30.0,W0,2.0,0.6,-21.411912118865814,True,18.82384006991534,0.0,51.411912118865814
20.0,1.5,30.0,W1,2.0,0.6,-15.140323883576919,True,16.009112247323696,0.0,45.14032388357692
20.0,1.5,30.0,W0,3.0,0.6,-21.411912118865814,True,18.82384006991534,0.0,51.411912118865814
20.0,1.5,30.0,W1,3.0,0.6,-12.181000354162194,True,14.390170465315625,0.0,42.181000354162194
20.0,1.5,30.0,W0,4.0,0.6,-21.411912118865814,True,18.82384006991534,0.0,51.411912118865814
20.0,1.5,30.0,W1,4.0,0.6,-9.339323883571133,True,12.600337535986167,0.0,39.33932388357113
20.0,1.5,30.0,W0,0.0,0.7,-22.365870452199587,True,18.997798341317814,0.0,52.36587045219959
20.0,1.5,30.0,W1,0.0,0.7,-22.365870452199587,True,18.997798341317814,0.0,52.36587045219959
20.0,1.5,30.0,W0,1.0,0.7,-22.365870452199587,True,18.997798341317814,0.0,52.36587045219959
20.0,1.5,30.0,W1,1.0,0.7,-19.121252805137935,True,17.700262715983516,0.0,49.121252805137935
20.0,1.5,30.0,W0,2.0,0.7,-22.365870452199587,True,18.997798341317814,0.0,52.36587045219959
20.0,1.5,30.0,W1,2.0,0.7,-15.994282216910278,True,16.3133132022975,0.0,45.99428221691028
20.0,1.5,30.0,W0,3.0,0.7,-22.365870452199587,True,18.997798341317814,0.0,52.36587045219959
20.0,1.5,30.0,W1,3.0,0.7,-12.984958687495379,True,14.800169810545484,0.0,42.98495868749538
20.0,1.5,30.0,W0,4.0,0.7,-22.365870452199587,True,18.997798341317814,0.0,52.36587045219959
20.0,1.5,30.0,W1,4.0,0.7,-10.093282216904207,True,13.098616447459147,0.0,40.09328221690421
20.0,1.8,36.0,W0,0.0,0.0,-9.52941176469848,True,12.72792206135622,0.0,45.52941176469848
20.0,1.8,36.0,W1,0.0,0.0,-9.52941176469848,True,12.72792206135622,0.0,45.52941176469848
20.0,1.8,36.0,W0,1.0,0.0,-9.52941176469848,True,12.72792206135622,0.0,45.52941176469848
20.0,1.8,36.0,W1,1.0,0.0,-6.635294117637734,True,10.620734437877287,0.0,42.635294117637734
20.0,1.8,36.0,W0,2.0,0.0,-9.52941176469848,True,12.72792206135622,0.0,45.52941176469848
20.0,1.8,36.0,W1,2.0,0.0,-3.858823529410067,True,8.099382692528286,0.0,39.85882352941007
20.0,1.8,36.0,W0,3.0,0.0,-9.52941176469848,True,12.72792206135622,0.0,45.52941176469848
20.0,1.8,36.0,W1,3.0,0.0,-1.1999999999962796,True,4.516635916250986,0.0,37.19999999999628
20.0,1.8,36.0,W0,4.0,0.0,-9.52941176469848,True,12.72792206135622,0.0,45.52941176469848
20.0,1.8,36.0,W1,4.0,0.0,1.3411764705936449,False,,0.5617571518397656,34.658823529406355
20.0,1.8,36.0,W0,0.0,0.1,-10.535870452198544,True,13.383190863447457,0.0,46.535870452198544
20.0,1.8,36.0,W1,0.0,0.1,-10.535870452198544,True,13.383190863447457,0.0,46.535870452198544
20.0,1.8,36.0,W0,1.0,0.1,-10.535870452198544,True,13.383190863447457,0.0,46.535870452198544
20.0,1.8,36.0,W1,1.0,0.1,-7.591252805137707,True,11.360074721911674,0.0,43.59125280513771
20.0,1.8,36.0,W0,2.0,0.1,-10.535870452198544,True,13.383190863447457,0.0,46.535870452198544
20.0,1.8,36.0,W1,2.0,0.1,-4.764282216910146,True,8.999599862634616,0.0,40.764282216910146
20.0,1.8,36.0,W0,3.0,0.1,-10.535870452198544,True,13.383190863447457,0.0,46.535870452198544
20.0,1.8,36.0,W1,3.0,0.1,-2.054958687496274,True,5.910524315784279,0.0,38.054958687496274
20.0,1.8,36.0,W0,4.0,0.1,-10.535870452198544,True,13.383190863447457,0.0,46.535870452198544
20.0,1.8,36.0,W1,4.0,0.1,0.5367177830940122,False,,0.3553685015305558,35.46328221690599
20.0,1.8,36.0,W0,0.0,0.2,-11.525245452198611,True,13.997470224560878,0.0,47.52524545219861
