trial_id,participant_id,scenario_id,density,nback,first_action_type,action_order_string,dt_steer_minus_brake,dt_brake_minus_accel,is_simultaneous_brake_steer,is_simultaneous_accel_steer
density_0_nback_0_id_1,1,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,2.049999952316284,0.10000014305114746,False,False
density_0_nback_1_id_1,1,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-1.9000000953674316,,False,False
density_0_nback_2_id_1,1,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,1.9000000953674316,,False,False
density_10_nback_0_id_1,1,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.2999999523162842,0.4499998092651367,False,False
density_10_nback_1_id_1,1,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,3.0500001907348633,0.14999985694885254,False,False
density_10_nback_2_id_1,1,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,1.6500000953674316,1.1999998092651367,False,False
density_20_nback_0_id_1,1,density_20_nback_0,20,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> brake -> steer,0.04999995231628418,1.7999999523162842,True,False
density_20_nback_1_id_1,1,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,3.5,0.7000000476837158,False,False
density_20_nback_2_id_1,1,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,8.450000047683716,2.1500000953674316,False,False
density_0_nback_0_id_2,2,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,2.799999952316284,0.10000014305114746,False,False
density_0_nback_1_id_2,2,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-6.650000095367432,,False,False
density_0_nback_2_id_2,2,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,1.4000000953674316,,False,False
density_10_nback_0_id_2,2,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.20000004768371582,0.34999990463256836,False,False
density_10_nback_1_id_2,2,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,1.7999999523162842,0.15000009536743164,False,False
density_10_nback_2_id_2,2,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,2.25,1.1500000953674316,False,False
density_20_nback_0_id_2,2,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.5,0.8999998569488525,False,False
density_20_nback_1_id_2,2,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,2.3499999046325684,0.75,False,False
density_20_nback_2_id_2,2,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,3.6500000953674316,0.14999985694885254,False,False
density_0_nback_0_id_3,3,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.4000000953674316,0.20000004768371582,False,False
density_0_nback_1_id_3,3,density_0_nback_1,0,1,STEER_FIRST,steer,,,False,False
density_0_nback_2_id_3,3,density_0_nback_2,0,2,STEER_FIRST,accel_release -> steer -> brake,-33.85000014305115,35.05000019073486,False,False
density_10_nback_0_id_3,3,density_10_nback_0,10,0,SIMULTANEOUS_BRAKE_STEER,accel_release -> steer -> brake,-0.04999995231628418,0.19999980926513672,True,False
density_10_nback_1_id_3,3,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,2.75,0.09999990463256836,False,False
density_10_nback_2_id_3,3,density_10_nback_2,10,2,STEER_FIRST,accel_release -> steer -> brake,-1.75,3.0999999046325684,False,False
density_20_nback_0_id_3,3,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-1.5,0.8499999046325684,False,False
density_20_nback_1_id_3,3,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,0.5499999523162842,0.75,False,False
density_20_nback_2_id_3,3,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,4.299999952316284,0.20000004768371582,False,False
density_0_nback_0_id_4,4,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,0.8499999046325684,0.15000009536743164,False,False
density_0_nback_1_id_4,4,density_0_nback_1,0,1,STEER_FIRST,steer,,,False,False
density_0_nback_2_id_4,4,density_0_nback_2,0,2,STEER_FIRST,steer -> brake,-40.299999952316284,,False,False
density_10_nback_0_id_4,4,density_10_nback_0,10,0,STEER_FIRST,accel_release -> steer -> brake,-0.20000004768371582,0.34999990463256836,False,False
density_10_nback_1_id_4,4,density_10_nback_1,10,1,BRAKE_FIRST,accel_release -> brake -> steer,2.799999952316284,0.15000009536743164,False,False
density_10_nback_2_id_4,4,density_10_nback_2,10,2,BRAKE_FIRST,accel_release -> brake -> steer,2.450000047683716,1.1999998092651367,False,False
density_20_nback_0_id_4,4,density_20_nback_0,20,0,STEER_FIRST,steer -> accel_release -> brake,-33.700000047683716,32.40000009536743,False,False
density_20_nback_1_id_4,4,density_20_nback_1,20,1,BRAKE_FIRST,accel_release -> brake -> steer,5.849999904632568,0.75,False,False
density_20_nback_2_id_4,4,density_20_nback_2,20,2,BRAKE_FIRST,accel_release -> brake -> steer,2.5,0.2999999523162842,False,False
density_0_nback_0_id_5,5,density_0_nback_0,0,0,BRAKE_FIRST,accel_release -> brake -> steer,1.8999998569488525,0.10000014305114746,False,False
density_0_nback_1_id_5,5,density_0_nback_1,0,1,STEER_FIRST,steer -> brake,-19.950000047683716,,False,False
density_0_nback_2_id_5,5,density_0_nback_2,0,2,BRAKE_FIRST,brake -> steer,2.0,,False,False
