population,model,term,estimate_s,se_cluster,ci95_low,ci95_high
primary: protocol-resolved TOR,M1_compact_prev_density_prev_nback,prev_density_10.0,-0.017222664794349668,0.0667486702544025,-0.15093631897691848,0.11649098938821914
primary: protocol-resolved TOR,M1_compact_prev_density_prev_nback,prev_density_20.0,0.11043975728048844,0.0842892773343481,-0.058411955237938684,0.27929146979891556
primary: protocol-resolved TOR,M1_compact_prev_density_prev_nback,prev_nback_1.0,-0.07414604223212144,0.0781999501336082,-0.23079936655163846,0.08250728208739556
primary: protocol-resolved TOR,M1_compact_prev_density_prev_nback,prev_nback_2.0,-0.055357516093968356,0.06657402952599008,-0.18872132285821216,0.07800629067027545
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d0_n1,-0.0184627464371849,0.09719030456183747,-0.21315832201268378,0.17623282913831398
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d0_n2,-0.15758880732216263,0.11813501724222579,-0.39424168418358474,0.07906406953925948
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d10_n0,-0.08591972326203746,0.1325386942396208,-0.3514266323857737,0.1795871858616988
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d10_n1,-0.0719158058181942,0.13461737625221198,-0.3415868153910898,0.19775520375470138
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d10_n2,-0.0636075156896201,0.1075016718090222,-0.2789592420016737,0.15174421062243354
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d20_n0,0.13525611938939644,0.17140950693000975,-0.20811838449043554,0.47863062326922845
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d20_n1,-0.0800878341320188,0.13201124518091656,-0.34453813582424075,0.18436246756020314
primary: protocol-resolved TOR,M2_full_prev_cell,prev_cell_d20_n2,0.09998401633541344,0.1352924994345388,-0.17103942748655737,0.37100746015738423
sensitivity: exclude all multi-TOR trials,M1_compact_prev_density_prev_nback,prev_density_10.0,-0.01947863201893127,0.07015709575690666,-0.16002018295527595,0.12106291891741341
sensitivity: exclude all multi-TOR trials,M1_compact_prev_density_prev_nback,prev_density_20.0,0.11652528671717431,0.08785421336704421,-0.05946785082203766,0.2925184242563863
sensitivity: exclude all multi-TOR trials,M1_compact_prev_density_prev_nback,prev_nback_1.0,-0.08232552500645024,0.08011952748107691,-0.24282422483139457,0.07817317481849409
sensitivity: exclude all multi-TOR trials,M1_compact_prev_density_prev_nback,prev_nback_2.0,-0.05497725748265192,0.07082831996314683,-0.19686343208041324,0.0869089171151094
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d0_n1,-0.025263150736472006,0.10231176305337072,-0.23021824050209952,0.1796919390291555
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d0_n2,-0.17089755665006667,0.12465789778045132,-0.42061733340984253,0.07882222010970916
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d10_n0,-0.0945723081734951,0.14282237636020428,-0.38067990806087204,0.19153529171388184
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d10_n1,-0.08444527515546565,0.13842460466435955,-0.3617430797095298,0.19285252939859845
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d10_n2,-0.06996276429291248,0.11042309985852318,-0.2911668142309108,0.15124128564508582
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d20_n0,0.13542035706695688,0.18134436642994897,-0.227856061899186,0.49869677603309975
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d20_n1,-0.08565659688550831,0.13536963965148469,-0.3568345711311259,0.18552137736010926
sensitivity: exclude all multi-TOR trials,M2_full_prev_cell,prev_cell_d20_n2,0.1119286734039272,0.14874206973895043,-0.18603749730284813,0.40989484411070254
