participant_id,n_trials,median_t_button_s,mean_t_button_s,slope_t_button_s_per_exposure,cell_adjusted_slope_t_button_s_per_exposure,age,accu_years,accu_km,driving_frequency,assist_frequency,n_trials_single_tor,median_t_button_s_single_tor,slope_t_button_s_per_exposure_single_tor,mean_t_button_s_single_tor,cell_adjusted_slope_t_button_s_per_exposure_single_tor
1,7,1.500343322700001,1.4928201947428568,-0.009554764318965759,0.00035999566053324794,70,55.0,10000,3.0,0.0,7,1.500343322700001,-0.009554764318965759,1.4928201947428568,-0.00047677248744479485
2,9,1.8508834838999988,1.8334244621888898,0.012520758321666407,0.03169184983367829,24,5.0,10000,5.0,6.0,8,1.850724220250001,0.009576307498938372,1.8125977516000011,0.02703044729898701
3,8,1.6002922058499998,1.48767232895,0.1655462355714288,0.11470608640048154,68,45.0,1500,3.0,0.0,8,1.6002922058499998,0.1655462355714288,1.48767232895,0.11083644548449617
4,9,2.0999393463999994,1.9443878597777773,-0.00994844435999989,0.014250046389412347,72,45.0,4000,2.0,0.0,9,2.0999393463999994,-0.00994844435999989,1.9443878597777773,0.01743607391230511
5,9,2.1996612549000005,2.166596942466666,-0.05833730697333333,-0.05325058535952521,25,5.0,12000,7.0,2.0,8,2.1250591277999966,-0.060083834732696226,2.162463903412499,-0.05798837025439793
6,8,1.6000108719500012,1.7813947201000015,-0.12952686490827056,-0.13270747857828066,68,45.0,15000,2.5,9.0,6,1.8249416352,-0.1269196961968424,1.9252792994500012,-0.13841054284469623
7,9,1.6500740051000022,1.8168657090555567,-0.15253445307833355,-0.136808826936081,26,8.5,6800,1.0,9.0,8,1.9251575469500022,-0.1678509485202381,1.8752636909125013,-0.15908506147069648
8,9,1.6499328613000015,1.6555862426777768,0.01072133381666679,0.005634612202858569,62,43.0,6000,2.0,0.0,8,1.6252374649000014,0.01273589731040346,1.643747806549999,0.010640432832105234
9,8,1.57519435885,1.5875167846624993,-0.008686203355201599,-0.014569108711500037,32,5.0,100,0.25,8.0,8,1.57519435885,-0.008686203355201599,1.5875167846624993,-0.01576290452963296
10,9,1.4495353697999995,1.4610841539,-0.04664945602833323,-0.04556567328675934,45,22.0,10000,2.5,10.0,9,1.4495353697999995,-0.04664945602833323,1.4610841539,-0.04312149314691817
11,8,1.5993728637999993,1.599875688575,0.014480599408108065,0.0025176632155145674,18,1.0,5000,7.0,1.0,7,1.5992088317999986,0.013214244052061825,1.5642623901571429,0.0008891004091941251
12,9,0.6007862091000007,0.7890983157666666,-0.0024456977883334985,0.013279928353919132,26,8.0,8000,2.0,1.0,8,0.6002893447500011,-0.058257148379762015,0.7252078056375,-0.04949126133022037
13,8,2.17462921145,2.3500096798000003,0.15847210411891952,0.18475842348431631,20,2.0,500,2.0,0.0,8,2.17462921145,0.15847210411891952,2.3500096798000003,0.18458640185113354
14,6,1.1000032425000015,1.3084026972499991,-0.09777691250952378,-0.08955491909165421,81,60.0,15000,3.0,10.0,6,1.1000032425000015,-0.09777691250952378,1.3084026972499991,-0.08351684882431741
15,7,1.7000064849999994,1.9356738499,-0.15193004303005345,-0.1332690060994277,35,1.0,3000,3.0,1.0,6,1.6753234862999982,-0.15474107331495368,1.97495174405,-0.13458429917141354
16,9,1.3501892089999998,1.5165962643111115,0.011576239264999795,0.012660022006573743,19,1.0,3000,1.5,9.0,8,1.32514667515,-0.0018355386338345801,1.4874806404125005,-0.009960543300405009
17,9,1.2998638153000002,1.3054877387111112,-0.06906862258666677,-0.0741553442004749,28,10.0,8000,3.0,6.0,8,1.2744255066,-0.06953390894713389,1.2998979091625005,-0.07162937342543213
18,9,1.0001201629999985,1.138782077355556,0.0016614278199998727,-0.017509663692011995,63,45.0,15000,3.0,4.0,9,1.0001201629999985,0.0016614278199998727,1.138782077355556,-0.01889273786229855
19,9,1.4999160766999964,1.5279221004888883,-0.17670240402000037,-0.16888476763631685,22,5.0,10000,6.0,1.5,9,1.4999160766999964,-0.17670240402000037,1.5279221004888883,-0.16501787000059898
20,9,1.8499317168999987,1.9110838572333329,-0.010874780021666574,-0.009790997280092573,60,52.0,20000,5.0,9.0,9,1.8499317168999987,-0.010874780021666574,1.9110838572333329,-0.007346817140251308
21,9,1.999866485600002,1.8777671390111115,0.03089364370333315,0.0151680175610805,45,26.0,10000,4.0,0.0,8,2.099681854250001,0.019749527889285707,1.9062154293125002,0.010983640839744072
22,9,1.699802398700001,1.4333000183111109,-0.008379586529999927,-0.037118270368788564,26,6.0,1000,1.0,0.0,9,1.699802398700001,-0.008379586529999927,1.4333000183111109,-0.03938989393929914
23,9,2.2500247955,2.4724422030888897,-0.22917222976500046,-0.2320974272283053,21,3.0,5000,1.0,0.0,8,2.2750711441,-0.2668917458306311,2.531450986850001,-0.2640391483422772
24,9,2.050281524700001,2.533388985533334,0.23583933512833366,0.243656971512017,54,30.0,8000,2.0,0.0,8,1.924968719499999,0.33512876147261944,2.531306982037501,0.3322364329089038
25,9,1.2497005463000015,1.4386359320888893,0.05581858952499962,0.04800095314131623,24,6.0,10000,4.0,1.0,9,1.2497005463000015,0.05581858952499962,1.4386359320888893,0.04413405550559824
26,9,1.7499771117999998,1.7889228396888888,-0.07172215780166663,-0.0728059405432406,25,6.0,1000,1.0,3.0,8,1.6999511718499996,-0.08214342027493728,1.7812774181375,-0.07401841560836697
27,8,1.9998817443499988,2.0436372756999996,-0.035604148907006125,-0.052887381823300286,31,13.0,1000,1.0,5.0,8,1.9998817443499988,-0.035604148907006125,2.0436372756999996,-0.053058288707054806
28,9,1.350048065199999,1.6945915222222228,-0.1375029881833331,-0.13127099413644408,31,12.0,15000,2.0,5.0,9,1.350048065199999,-0.1375029881833331,1.6945915222222228,-0.13188372262820808
29,9,1.999994277999999,2.244637807211111,0.06588354111500024,0.06479975837342644,71,53.0,24000,5.0,0.0,8,2.1250152587999995,0.028857238318045406,2.3377399444624998,0.03698224298461564
30,9,1.799581527800001,1.6501047346444453,0.02906386057666691,0.026138663113361806,49,25.0,8000,2.0,10.0,9,1.799581527800001,0.02906386057666691,1.6501047346444453,0.024847931246393177
31,7,1.4504699706999986,1.507249832142858,0.014542327535057057,-0.00532566371439918,19,1.5,1000,1.5,0.0,6,1.5502433776999993,0.003408459161209566,1.558461825050001,-0.008567038338833747
32,9,1.5004119873000017,1.478007846422222,-0.06582822800000025,-0.09456691183878885,25,7.0,2000,2.0,0.0,8,1.5001411438000023,-0.0621405764779282,1.4501805305624997,-0.08825487421014215
33,9,1.2999248504000036,1.383276409555556,0.004970232644999959,0.007895430108305047,29,11.0,15000,4.0,10.0,9,1.2999248504000036,0.004970232644999959,1.383276409555556,0.00918616197527373
34,9,1.650465011600005,1.8001738654111112,-0.022496859231666593,-0.023580641973240567,27,8.0,800,1.0,0.0,8,1.625479698150004,0.013522336955889837,1.7252020835750002,0.021647341622460226
35,8,1.949738502499999,1.9312689304374997,-0.06549411636261304,-0.03920779699721628,47,29.0,30000,4.0,10.0,8,1.949738502499999,-0.06549411636261304,1.9312689304374997,-0.03937981863039907
36,7,1.900035858199999,1.8142547607428559,-0.0038036973510273938,-0.0010590399119451556,40,21.0,1000,1.0,1.0,6,1.8250484466499977,-0.015589791622009554,1.7916444142666652,-0.028936629920903418
37,8,2.22524929045,2.2063729762875,0.002929163403153082,0.0013090110112705022,32,10.0,0,0.0,5.0,8,2.22524929045,0.002929163403153082,2.2063729762875,7.65659147991551e-05
38,9,1.5497112273999996,1.4220591650999994,-0.13327805201166648,-0.14900367815391913,44,25.0,1350,1.0,10.0,9,1.5497112273999996,-0.13327805201166648,1.4220591650999994,-0.15312333696034808
39,9,1.3995552063000003,1.4333148532333335,-0.06667305628166649,-0.07015065805365603,29,1.0,50,0.0,0.0,9,1.3995552063000003,-0.06667305628166649,1.4333148532333335,-0.07064518282371855
40,9,1.450260162399999,1.7499529520888875,0.03582137425833359,0.039298976030322987,53,19.0,10000,7.0,10.0,9,1.450260162399999,0.03582137425833359,1.7499529520888875,0.03979350080038545
41,9,1.549190521299998,1.699780570122222,-0.233368587481667,-0.2141974959696551,28,5.0,0,0.0,9.0,9,1.549190521299998,-0.233368587481667,1.699780570122222,-0.21281442179936855
42,8,2.1008234024499988,1.9753844738124986,-0.008928290856687575,-0.005998555925824074,27,9.0,100,0.01,1.0,8,2.1008234024499988,-0.008928290856687575,1.9753844738124986,-0.006832826378389424
43,9,1.5996532439999989,1.672289530411111,0.10575685500500023,0.07701817116621157,66,46.0,20000,5.0,6.0,9,1.5996532439999989,0.10575685500500023,1.672289530411111,0.074746547595701
44,9,1.3504676818999997,1.3556529150888887,-0.01504408518166676,-0.018521686953656274,47,28.0,10000,1.0,0.0,9,1.3504676818999997,-0.01504408518166676,1.3556529150888887,-0.019016211723718767
45,9,1.4994220734000017,1.338533401511112,-0.16254727046166695,-0.1867457612110793,28,5.0,0,0.0,0.0,9,1.4994220734000017,-0.16254727046166695,1.338533401511112,-0.18993178873397204
