speed_kmh,mu,branch,points,max_rel_diff_d_stop,tolerance
60,1.0,P0|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,2.209e-04,0.001
60,1.0,P0|AUTH_UNCERTAIN,argmin;argmax;midpoint,2.214e-04,0.001
60,1.0,P1,argmin;argmax;midpoint,2.214e-04,0.001
60,1.0,P2|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,2.249e-04,0.001
60,1.0,P2|AUTH_UNCERTAIN,argmin;argmax;midpoint,2.249e-04,0.001
60,0.5,P0|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.641e-04,0.001
60,0.5,P0|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.650e-04,0.001
60,0.5,P1,argmin;argmax;midpoint,1.650e-04,0.001
60,0.5,P2|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.757e-04,0.001
60,0.5,P2|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.757e-04,0.001
100,1.0,P0|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.739e-04,0.001
100,1.0,P0|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.749e-04,0.001
100,1.0,P1,argmin;argmax;midpoint,1.749e-04,0.001
100,1.0,P2|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.807e-04,0.001
100,1.0,P2|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.807e-04,0.001
100,0.5,P0|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.196e-04,0.001
100,0.5,P0|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.207e-04,0.001
100,0.5,P1,argmin;argmax;midpoint,1.207e-04,0.001
100,0.5,P2|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.279e-04,0.001
100,0.5,P2|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.279e-04,0.001
130,1.0,P0|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.500e-04,0.001
130,1.0,P0|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.512e-04,0.001
130,1.0,P1,argmin;argmax;midpoint,1.512e-04,0.001
130,1.0,P2|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.560e-04,0.001
130,1.0,P2|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.560e-04,0.001
130,0.5,P0|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,9.939e-05,0.001
130,0.5,P0|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.006e-04,0.001
130,0.5,P1,argmin;argmax;midpoint,1.006e-04,0.001
130,0.5,P2|AUTH_AT_EFFECTIVE,argmin;argmax;midpoint,1.055e-04,0.001
130,0.5,P2|AUTH_UNCERTAIN,argmin;argmax;midpoint,1.055e-04,0.001
