speed_kmh,mu,branch,parameter,dT_dp_at_mid,elasticity_at_mid,swing_s,abs_swing_s,share_of_oat_swing
60,1.0,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.55448,1.85,1.85,0.66599
60,1.0,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.02939,0.12,0.12,0.0432
60,1.0,P0|AUTH_AT_EFFECTIVE,t3,0.47088,0.09437,0.42379,0.42379,0.15256
60,1.0,P0|AUTH_AT_EFFECTIVE,a_max,-0.13962,-0.28969,-0.38401,0.38401,0.13824
60,1.0,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
60,1.0,P0|AUTH_UNCERTAIN,t1,0.98069,0.54883,1.81428,1.81428,0.64173
60,1.0,P0|AUTH_UNCERTAIN,t2,0.98901,0.02934,0.11868,0.11868,0.04198
60,1.0,P0|AUTH_UNCERTAIN,t3,0.46539,0.09414,0.41885,0.41885,0.14815
60,1.0,P0|AUTH_UNCERTAIN,a_max,-0.13659,-0.28606,-0.3757,0.3757,0.13289
60,1.0,P0|AUTH_UNCERTAIN,a_drag,-0.19463,-0.00927,-0.01952,0.01952,0.0069
60,1.0,P0|AUTH_UNCERTAIN,f_auth,0.08013,0.01081,0.08013,0.08013,0.02834
60,1.0,P1,t1,0.95065,0.53864,1.75869,1.75869,0.65073
60,1.0,P1,t2,0.97802,0.02938,0.11736,0.11736,0.04342
60,1.0,P1,t3,0.45989,0.09418,0.4139,0.4139,0.15315
60,1.0,P1,a_max,-0.13361,-0.28329,-0.36748,0.36748,0.13597
60,1.0,P1,a_drag,-0.4509,-0.02174,-0.04523,0.04523,0.01673
60,1.0,P2|AUTH_AT_EFFECTIVE,t1,0.49937,0.35789,0.92383,0.92383,0.39745
60,1.0,P2|AUTH_AT_EFFECTIVE,t2,0.751,0.02853,0.09012,0.09012,0.03877
60,1.0,P2|AUTH_AT_EFFECTIVE,t3,0.34638,0.08973,0.31174,0.31174,0.13412
60,1.0,P2|AUTH_AT_EFFECTIVE,a_max,-0.07936,-0.21283,-0.21822,0.21822,0.09388
60,1.0,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
60,1.0,P2|AUTH_AT_EFFECTIVE,a_sup,-0.39024,-0.26957,-0.78047,0.78047,0.33578
60,1.0,P2|AUTH_UNCERTAIN,t1,0.65492,0.42388,1.21161,1.21161,0.37441
60,1.0,P2|AUTH_UNCERTAIN,t2,0.86451,0.02966,0.10374,0.10374,0.03206
60,1.0,P2|AUTH_UNCERTAIN,t3,0.40314,0.09431,0.36282,0.36282,0.11212
60,1.0,P2|AUTH_UNCERTAIN,a_max,-0.1047,-0.25359,-0.28795,0.28795,0.08898
60,1.0,P2|AUTH_UNCERTAIN,a_drag,-0.17799,-0.0098,-0.01785,0.01785,0.00552
60,1.0,P2|AUTH_UNCERTAIN,a_sup,-0.24258,-0.15133,-0.48515,0.48515,0.14992
60,1.0,P2|AUTH_UNCERTAIN,f_auth,-0.76689,-0.1196,-0.76689,0.76689,0.23699
60,0.5,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.47461,1.85,1.85,0.76973
60,0.5,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.02516,0.12,0.12,0.04993
60,0.5,P0|AUTH_AT_EFFECTIVE,t3,0.48161,0.08262,0.43345,0.43345,0.18034
60,0.5,P0|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
60,0.5,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
60,0.5,P0|AUTH_UNCERTAIN,t1,0.97414,0.46748,1.80215,1.80215,0.72553
60,0.5,P0|AUTH_UNCERTAIN,t2,0.98901,0.02516,0.11868,0.11868,0.04778
60,0.5,P0|AUTH_UNCERTAIN,t3,0.47611,0.08258,0.4285,0.4285,0.17251
60,0.5,P0|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
60,0.5,P0|AUTH_UNCERTAIN,a_drag,-0.27168,-0.01109,-0.02725,0.02725,0.01097
60,0.5,P0|AUTH_UNCERTAIN,f_auth,0.10733,0.01241,0.10733,0.10733,0.04321
60,0.5,P1,t1,0.93768,0.45623,1.73471,1.73471,0.74255
60,0.5,P1,t2,0.97802,0.02523,0.11736,0.11736,0.05024
60,0.5,P1,t3,0.47062,0.08276,0.42355,0.42355,0.18131
60,0.5,P1,a_max,0.0,0.0,0.0,0.0,0.0
60,0.5,P1,a_drag,-0.60329,-0.02497,-0.06051,0.06051,0.0259
60,0.5,P2|AUTH_AT_EFFECTIVE,t1,0.38658,0.24665,0.71518,0.71518,0.33401
60,0.5,P2|AUTH_AT_EFFECTIVE,t2,0.751,0.0254,0.09012,0.09012,0.04209
60,0.5,P2|AUTH_AT_EFFECTIVE,t3,0.35711,0.08235,0.3214,0.3214,0.1501
60,0.5,P2|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
60,0.5,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
60,0.5,P2|AUTH_AT_EFFECTIVE,a_sup,-0.50725,-0.31194,-1.01451,1.01451,0.4738
60,0.5,P2|AUTH_UNCERTAIN,t1,0.58428,0.32966,1.08091,1.08091,0.3363
60,0.5,P2|AUTH_UNCERTAIN,t2,0.86451,0.02586,0.10374,0.10374,0.03228
60,0.5,P2|AUTH_UNCERTAIN,t3,0.41386,0.0844,0.37248,0.37248,0.11589
60,0.5,P2|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
60,0.5,P2|AUTH_UNCERTAIN,a_drag,-0.24534,-0.01178,-0.02461,0.02461,0.00766
60,0.5,P2|AUTH_UNCERTAIN,a_sup,-0.30993,-0.16854,-0.61986,0.61986,0.19286
60,0.5,P2|AUTH_UNCERTAIN,f_auth,-1.01251,-0.13766,-1.01251,1.01251,0.31502
100,1.0,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.47008,1.85,1.85,0.60849
100,1.0,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.02492,0.12,0.12,0.03947
100,1.0,P0|AUTH_AT_EFFECTIVE,t3,0.48253,0.08199,0.43428,0.43428,0.14284
100,1.0,P0|AUTH_AT_EFFECTIVE,a_max,-0.23119,-0.4067,-0.63602,0.63602,0.2092
100,1.0,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
100,1.0,P0|AUTH_UNCERTAIN,t1,0.97186,0.46237,1.79793,1.79793,0.57722
100,1.0,P0|AUTH_UNCERTAIN,t2,0.98846,0.02493,0.11861,0.11861,0.03808
100,1.0,P0|AUTH_UNCERTAIN,t3,0.47676,0.08198,0.42908,0.42908,0.13776
100,1.0,P0|AUTH_UNCERTAIN,a_max,-0.2259,-0.40219,-0.62147,0.62147,0.19952
100,1.0,P0|AUTH_UNCERTAIN,a_drag,-0.16956,-0.01202,-0.03089,0.03089,0.00992
100,1.0,P0|AUTH_UNCERTAIN,f_auth,0.1168,0.01339,0.1168,0.1168,0.0375
100,1.0,P1,t1,0.93263,0.45033,1.72536,1.72536,0.58649
100,1.0,P1,t2,0.97691,0.02501,0.11723,0.11723,0.03985
100,1.0,P1,t3,0.47098,0.0822,0.42389,0.42389,0.14409
100,1.0,P1,a_max,-0.22068,-0.39875,-0.60709,0.60709,0.20636
100,1.0,P1,a_drag,-0.37479,-0.02696,-0.06829,0.06829,0.02321
100,1.0,P2|AUTH_AT_EFFECTIVE,t1,0.59659,0.33529,1.1037,1.1037,0.40642
100,1.0,P2|AUTH_AT_EFFECTIVE,t2,0.8506,0.02534,0.10207,0.10207,0.03759
100,1.0,P2|AUTH_AT_EFFECTIVE,t3,0.40783,0.08284,0.36705,0.36705,0.13516
100,1.0,P2|AUTH_AT_EFFECTIVE,a_max,-0.16751,-0.35229,-0.46079,0.46079,0.16968
100,1.0,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
100,1.0,P2|AUTH_AT_EFFECTIVE,a_sup,-0.34103,-0.18474,-0.68206,0.68206,0.25116
100,1.0,P2|AUTH_UNCERTAIN,t1,0.72616,0.381,1.34339,1.34339,0.39386
100,1.0,P2|AUTH_UNCERTAIN,t2,0.91376,0.02542,0.10965,0.10965,0.03215
100,1.0,P2|AUTH_UNCERTAIN,t3,0.43941,0.08333,0.39547,0.39547,0.11594
100,1.0,P2|AUTH_UNCERTAIN,a_max,-0.19317,-0.37928,-0.53141,0.53141,0.1558
100,1.0,P2|AUTH_UNCERTAIN,a_drag,-0.15958,-0.01247,-0.02908,0.02908,0.00852
100,1.0,P2|AUTH_UNCERTAIN,a_sup,-0.19833,-0.1003,-0.39666,0.39666,0.11629
100,1.0,P2|AUTH_UNCERTAIN,f_auth,-0.60519,-0.07651,-0.60519,0.60519,0.17743
100,0.5,P0|AUTH_AT_EFFECTIVE,t1,1.0,0.38008,1.85,1.85,0.76761
100,0.5,P0|AUTH_AT_EFFECTIVE,t2,1.0,0.02015,0.12,0.12,0.04979
100,0.5,P0|AUTH_AT_EFFECTIVE,t3,0.48896,0.06717,0.44007,0.44007,0.1826
100,0.5,P0|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P0|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
100,0.5,P0|AUTH_UNCERTAIN,t1,0.96038,0.37021,1.77671,1.77671,0.69962
100,0.5,P0|AUTH_UNCERTAIN,t2,0.98846,0.0202,0.11861,0.11861,0.04671
100,0.5,P0|AUTH_UNCERTAIN,t3,0.48319,0.06732,0.43487,0.43487,0.17124
100,0.5,P0|AUTH_UNCERTAIN,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P0|AUTH_UNCERTAIN,a_drag,-0.24657,-0.01416,-0.04492,0.04492,0.01769
100,0.5,P0|AUTH_UNCERTAIN,f_auth,0.16441,0.01527,0.16441,0.16441,0.06474
100,0.5,P1,t1,0.90995,0.35659,1.68341,1.68341,0.72363
100,0.5,P1,t2,0.97691,0.02029,0.11723,0.11723,0.05039
100,0.5,P1,t3,0.47742,0.06762,0.42968,0.42968,0.1847
100,0.5,P1,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P1,a_drag,-0.527,-0.03076,-0.09602,0.09602,0.04128
100,0.5,P2|AUTH_AT_EFFECTIVE,t1,0.46885,0.21867,0.86737,0.86737,0.37886
100,0.5,P2|AUTH_AT_EFFECTIVE,t2,0.8506,0.02103,0.10207,0.10207,0.04458
100,0.5,P2|AUTH_AT_EFFECTIVE,t3,0.41426,0.06983,0.37284,0.37284,0.16285
100,0.5,P2|AUTH_AT_EFFECTIVE,a_max,0.0,0.0,0.0,0.0,0.0
100,0.5,P2|AUTH_AT_EFFECTIVE,a_drag,0.0,0.0,0.0,0.0,0.0
