speed_kmh,mu,branch,a_eff_low,a_eff_high,friction_binding,t_required_min_s,t_required_mid_s,t_required_max_s,width_s,optimistic_corner,conservative_corner,bound_method,t_required_min_if_t1_high_4s,t_required_max_if_t1_high_4s,t1_high_4s_bound_method
60,1.0,P0|AUTH_AT_EFFECTIVE,6.43,9.1,False,2.3837,3.7423,5.1629,2.7792,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.1264}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264}",monotone_endpoint_bound,2.3837,6.1629,monotone_endpoint_bound
60,1.0,P0|AUTH_UNCERTAIN,6.43,9.1,False,2.3432,3.7078,5.1629,2.8197,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.2267, ""f_auth"": 0.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264, ""f_auth"": 1.0}",monotone_endpoint_bound,2.3432,6.1629,monotone_endpoint_bound
60,1.0,P1,6.43,9.1,False,2.3432,3.6621,5.0529,2.7098,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.2267}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264}",monotone_endpoint_bound,2.3432,6.0014,monotone_endpoint_bound
60,1.0,P2|AUTH_AT_EFFECTIVE,6.43,9.1,False,1.8834,2.8953,4.3297,2.4463,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.1264, ""a_sup"": 3.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264, ""a_sup"": 1.0}",monotone_endpoint_bound,1.8834,4.9506,monotone_endpoint_bound
60,1.0,P2|AUTH_UNCERTAIN,6.43,9.1,False,1.8834,3.206,5.0529,3.1695,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 9.1, ""a_drag"": 0.1264, ""a_sup"": 3.0, ""f_auth"": 1.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264, ""a_sup"": 1.0, ""f_auth"": 0.0}",monotone_endpoint_bound,1.8834,6.0014,monotone_endpoint_bound
60,0.5,P0|AUTH_AT_EFFECTIVE,4.905,4.905,True,3.1678,4.372,5.5713,2.4034,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.1264}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264}",monotone_endpoint_bound,3.1678,6.5713,monotone_endpoint_bound
60,0.5,P0|AUTH_UNCERTAIN,4.905,4.905,True,3.103,4.3239,5.5713,2.4683,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.2267, ""f_auth"": 0.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264, ""f_auth"": 1.0}",monotone_endpoint_bound,3.103,6.5713,monotone_endpoint_bound
60,0.5,P1,4.905,4.905,True,3.103,4.2647,5.4432,2.3402,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.2267}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264}",monotone_endpoint_bound,3.103,6.3857,monotone_endpoint_bound
60,0.5,P2|AUTH_AT_EFFECTIVE,4.905,4.905,True,2.3769,3.2522,4.6061,2.2293,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.1264, ""a_sup"": 3.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264, ""a_sup"": 1.0}",monotone_endpoint_bound,2.3769,5.1889,stationary_point_t1_bound
60,0.5,P2|AUTH_UNCERTAIN,4.905,4.905,True,2.3769,3.6777,5.4432,3.0664,"{""t1"": 1.15, ""t2"": 0.05, ""t3"": 0.3, ""a_max"": 6.43, ""a_drag"": 0.1264, ""a_sup"": 3.0, ""f_auth"": 1.0}","{""t1"": 3.0, ""t2"": 0.17, ""t3"": 1.2, ""a_max"": 6.43, ""a_drag"": 0.1264, ""a_sup"": 1.0, ""f_auth"": 0.0}",monotone_endpoint_bound,2.3769,6.3857,stationary_point_t1_bound
