event,n,median_s,iqr_s,participant_icc1,cell_eta2
brake_onset_tor_ms_rel_tor_s,294,1.1002339124755736,"[0.3999474048912841, 1.2006289958587155]",-0.1120771892975589,0.759539555616196
accel_release_rel_tor_s,492,0.04992997645814157,"[0.0009683966877851446, 1.0501241683750004]",-0.11786326040896133,0.9404993777036996
brake_onset_after_ms_rel_ms_s,426,0.04982447626628428,"[0.0008221864668582768, 0.35053330657092996]",-0.010323919240621402,0.24988555130105028
brake_straddle_release_rel_ms_s,264,0.9493143558337156,"[0.8001115918284976, 1.1002384424418574]",0.20733197060295178,0.10272758741787785
brake_clean_onset_rel_ms_s,299,1.200891971567433,"[0.5253764391244253, 2.1255908012174327]",0.006581757899912617,0.05199641609680375
accel_straddle_drop_rel_ms_s,120,0.2995738982999967,"[0.10080540177442465, 0.5495001077918573]",-0.17032885344672827,0.22726453454240972
accel_onset_after_ms_rel_ms_s,476,1.2008879184837173,"[0.08743321895814216, 4.199849724791856]",0.08630337214411458,0.12287862075308177
steer_onset_after_ms_rel_ms_s,492,2.000353574716284,"[1.1499097347162817, 3.1631367206337178]",0.15595139720422205,0.09164643637125798
indicator_left_onset_rel_ms_s,372,2.049983262983716,"[1.3998944759587175, 3.250301241883143]",0.19344355993257334,0.032804529042062124
steer_onset_to_lane_crossing_s,478,2.3495273589999996,"[1.9500250816325675, 3.2002398371465013]",0.062209798485858066,0.10566915202557427
t_button_s,492,1.6499290466000005,"[1.2501821518000025, 1.9999299049499975]",0.12797340739769048,0.14188579044367278
brake_straddle_release_rel_tor_s,264,2.800138831108141,"[2.287089586241284, 3.599799752241859]",0.1874418103374614,0.15832292316615407
