channel,tag,samples,fraction
d_follow,missing,1964,0.002378066573755783
d_follow,zero_from_recording_start,185836,0.22501546833018315
d_follow,value,387177,0.4688048278141766
d_follow,zero_after_far_value,249930,0.30262229062056156
d_follow,zero_after_lane_crossing,113,0.0001368235859645639
d_follow,zero_after_mid_value,671,0.0008124657184267468
d_follow,negative,170,0.0002058407930440342
d_follow,zero_after_near_value,20,2.4216563887533435e-05
d_follow,at_steer_onset:value,198,0.40325865580448067
d_follow,at_steer_onset:zero_from_recording_start,166,0.3380855397148676
d_follow,at_steer_onset:zero_after_far_value,127,0.25865580448065173
d_follow,at_pre_lane_crossing:value,207,0.4330543933054393
d_follow,at_pre_lane_crossing:zero_from_recording_start,166,0.3472803347280335
d_follow,at_pre_lane_crossing:zero_after_far_value,95,0.19874476987447698
d_follow,at_pre_lane_crossing:zero_after_mid_value,10,0.02092050209205021
d_lead_next,missing,1964,0.002378066573755783
d_lead_next,value,672680,0.8144999097932996
d_lead_next,zero_after_lane_crossing,101465,0.12285668274242899
d_lead_next,zero_handoff,9147,0.011075445493963417
d_lead_next,zero_after_far_value,34680,0.04199152178098298
d_lead_next,zero_after_near_value,3033,0.003672441913544445
d_lead_next,zero_after_mid_value,2912,0.003525931702024868
d_lead_next,at_steer_onset:value,483,0.9837067209775967
d_lead_next,at_steer_onset:zero_after_lane_crossing,8,0.016293279022403257
d_lead_next,at_pre_lane_crossing:value,478,1.0
d_follow_next,missing,1964,0.002378066573755783
d_follow_next,value,489882,0.5931629375176327
d_follow_next,zero_from_recording_start,239849,0.29041593159305035
d_follow_next,zero_after_far_value,24376,0.02951514806612575
d_follow_next,zero_after_mid_value,2914,0.0035283533584136214
d_follow_next,zero_after_near_value,3923,0.004750079006539683
d_follow_next,zero_handoff,659,0.0007979357800942267
d_follow_next,zero_after_lane_crossing,62189,0.07530019458009084
d_follow_next,negative,125,0.00015135352429708395
d_follow_next,at_steer_onset:value,319,0.6496945010183299
d_follow_next,at_steer_onset:zero_from_recording_start,166,0.3380855397148676
d_follow_next,at_steer_onset:zero_after_lane_crossing,6,0.012219959266802444
d_follow_next,at_pre_lane_crossing:value,307,0.6422594142259415
d_follow_next,at_pre_lane_crossing:zero_from_recording_start,167,0.3493723849372385
d_follow_next,at_pre_lane_crossing:zero_after_near_value,4,0.008368200836820083
